movie_id,title,year,certificate,runtime_minutes,genre,rating,metascore,description,director,stars,votes,gross_millions
tt1000835,Dark Love 728,2004,PG-13,103,"Action, Musical",9.5,,A critically acclaimed action masterpiece.,Park Chan-wook,"Matt Damon, Leonardo DiCaprio, Meryl Streep, Robert De Niro",774648,204.79
tt1000768,First Awakening 661,2012,R,159,"War, Animation",9.5,,An epic war tale directed by Ridley Scott.,Ridley Scott,"Matt Damon, Jack Nicholson, Chris Hemsworth, Zendaya",297518,951.58
tt1000652,The Dreams 545,2008,R,77,"Action, Mystery, War",9.5,100.0,An epic action tale directed by Spike Lee.,Spike Lee,"Natalie Portman, Mark Ruffalo, Viola Davis, Harrison Ford, Margot Robbie",583752,372.85
tt1000538,Last Mission 431,2019,PG-13,116,Biography,9.5,,A critically acclaimed biography masterpiece.,Jordan Peele,"Al Pacino, Gary Oldman, Keanu Reeves, Kate Winslet",187450,
tt1000159,The Story 52,2000,R,126,Mystery,9.5,99.0,A mystery film set in 2000.,Park Chan-wook,"Zendaya, Chris Hemsworth, Viola Davis, Mark Ruffalo",642106,252.83
tt1000840,Dark Legend 733,2023,R,123,Crime,9.5,98.0,A crime film set in 2023.,Sam Mendes,"Gary Oldman, Morgan Freeman, Keanu Reeves",207806,808.8
tt1000678,A Revolution 571,2000,PG,141,Romance,9.3,,An epic romance tale directed by Coen Brothers.,Coen Brothers,"Edward Norton, Al Pacino, Jennifer Lawrence",215726,64.12
tt1000073,The Lord of the Rings: The Fellowship of the Ring,2000,PG,121,"Fantasy, Action",9.1,98.0,An epic fantasy tale directed by Ang Lee.,Ang Lee,"Emma Stone, Denzel Washington, Chris Hemsworth",7274,24.5
tt1000484,The Mission 377,2021,PG,124,Crime,9.1,95.0,A critically acclaimed crime masterpiece.,Guillermo del Toro,"Mark Ruffalo, Natalie Portman, Zendaya",279682,
tt1000293,Last Love 186,2023,PG-13,143,War,9.1,88.0,A war film set in 2023.,Peter Jackson,"Leonardo DiCaprio, Gary Oldman, Meryl Streep, Amy Adams, Keanu Reeves",54004,
tt1000282,Dark Story 175,2009,R,125,Adventure,9.0,,A adventure film set in 2009.,Francis Ford Coppola,"Morgan Freeman, Viola Davis, Scarlett Johansson",46006,
tt1000035,Star Wars,1945,R,128,"Fantasy, Romance",9.0,75.0,A thrilling fantasy adventure.,Stanley Kubrick,"Meryl Streep, Al Pacino, Daniel Day-Lewis, Anthony Hopkins, Mark Ruffalo",93356,124.78
tt1000430,First Adventures 323,2014,PG-13,127,"War, Family, Crime",9.0,96.0,A war film set in 2014.,Robert Zemeckis,"Florence Pugh, Brad Pitt, Chris Hemsworth",118662,131.58
tt1000388,Lost Mystery 281,2022,PG,140,"War, Adventure",9.0,,A war film set in 2022.,Ridley Scott,"Emma Stone, Brad Pitt, Keanu Reeves, Tom Cruise",955084,
